Locality,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Change Percentage  13-23
ABBOTSFORD,792500,862500,925000,1187500,1280000,1192500,1050000,1200000,1365000,1346000,1250000,58
ABERFELDIE,947500,1045000,1207500,1300000,1471000,1498500,1390000,1520000,1858000,1900000,1631000,72
AINTREE,-,-,600000,600000,571000,557500,575000,616000,713500,756000,748000,NA
AIREYS INLET,664000,625500,680000,715000,737500,869000,985000,1132500,1775000,1725000,1675000,152
AIRPORT WEST,532000,575000,635000,742000,845000,845000,795000,812500,960000,911000,945000,78
ALBANVALE,313000,328000,345000,439000,526500,546000,512000,545000,610000,600000,595000,90
ALBERT PARK,1360000,1503000,1700000,1775000,2150000,2070000,1990000,1900000,2355000,2475000,2202500,62
ALBION,379000,432000,481000,593000,730000,755000,675000,727500,832500,830000,765000,102
ALEXANDRA,261000,247500,285000,275000,291500,335000,325000,380000,440000,550000,477500,83
ALFREDTON,361500,362000,340500,375000,412500,439000,480000,512000,605000,650000,640000,77
ALLANSFORD,310000,242500,259000,275000,280000,245000,300000,371000,445000,573500,600000,94
ALPHINGTON,1080000,1029000,1296500,1272500,1560000,1612500,1455000,1865000,2280000,2195000,2076000,92
ALTONA,572500,646500,718000,832500,950000,932500,890000,914000,1162500,1180000,1135000,98
ALTONA EAST,561500,605000,650000,800000,900000,909000,857500,870000,980000,1100000,1025000,83
ALTONA MEADOWS,390000,413000,440000,495000,626500,631500,615000,640000,720000,740000,690000,77
ALTONA NORTH,510000,555000,642500,725000,825000,835000,790000,830000,905000,942500,880500,73
ANGLESEA,550000,612500,635000,652500,788000,870000,915000,1100000,1440000,1717500,1550000,182
APOLLO BAY,450000,457500,435000,480000,545000,555000,915000,710000,924500,1000000,1080000,140
ARARAT,180000,200000,210000,204500,199000,199000,215000,244000,313000,380000,375000,109
ARDEER,330000,360000,381500,517500,595000,629000,572000,615000,719000,682000,628500,90
ARMADALE,1675000,1750000,2172500,2364000,2300000,2341500,2490000,2625000,2700000,2735500,2585000,54
ARMSTRONG CREEK,467500,441500,440000,450000,471000,535000,529500,545500,660000,720000,675000,44
ASCOT (GREATER BENDIGO),349500,344500,350000,371000,358000,380000,415500,470000,562500,595000,609500,74
ASCOT VALE,735000,810000,885000,1010000,1185000,1197500,1100000,1210000,1245000,1325000,1300500,77
ASHBURTON,1000000,1200000,1435000,1567500,1812500,1712500,1641500,1600000,2000000,1986000,1992500,99
ASHWOOD,775000,888000,1140000,1230000,1359000,1210000,1100000,1250500,1450000,1567500,1455000,88
ASPENDALE,620000,690000,795500,891000,1125000,980000,994000,1120000,1321500,1440000,1332500,115
ASPENDALE GARDENS,586500,632000,715000,775000,882500,935000,844000,970000,1130500,1150000,1117000,90
ATTWOOD,540000,515000,620000,660000,742500,750000,767500,750000,970000,990500,950000,76
AVENEL,231000,302000,245000,250000,355000,349000,370000,450000,455000,497500,555000,140
AVOCA,182500,180000,182500,165000,212500,220000,219500,290000,325000,375000,350000,92
AVONDALE HEIGHTS,532500,562500,650000,750000,845500,830000,810000,842500,965500,990000,936000,76
AVONSLEIGH,420000,355000,397500,501000,562000,540000,532500,615000,752500,837500,725000,73
AXEDALE,240000,357500,327500,340000,350000,355000,387500,390000,505000,520000,515000,115
BACCHUS MARSH,335500,348000,355000,376000,415500,480000,500000,520000,597000,665000,640000,91
BADGER CREEK,315000,325000,345000,379000,465000,500000,498000,550000,665000,715000,732500,133
BAIRNSDALE,235000,244000,246500,255000,272500,279000,274000,290000,350000,440000,435000,85
BALACLAVA,860500,942000,1100000,1242500,1385500,1190000,1405000,1418000,1550000,1560000,1500000,74
BALCOMBE,710000,737000,871000,950000,1100000,1240000,1125000,1300000,1750000,1852500,1758500,148
BALLAN,352000,330000,359000,370000,417000,462000,450000,505000,603500,640000,607500,73
BALLARAT CENTRAL,322000,327500,353000,385000,430000,447500,515000,560000,710000,687500,607500,89
BALLARAT EAST,265000,265000,275000,295000,310000,340000,360000,398000,490000,530000,512500,93
BALLARAT NORTH,296000,312000,315000,339500,346500,389000,417500,425000,566500,627500,620000,109
BALNARRING,525000,544000,595000,670000,815000,814500,825000,938500,1275000,1330000,1250000,138
BALNARRING BEACH,750000,700000,887500,904000,890000,1115000,1275000,1250000,1635000,1847500,2400000,220
BALWYN,1530000,1780000,2210000,2180000,2340000,2420000,2377500,2260000,2750000,2862000,2985000,95
BALWYN NORTH,1240000,1452000,1850000,1800000,1950000,1810000,1720000,1900000,2255500,2229000,2405000,94
BANDIANA,339000,355000,377500,370000,375000,390000,374000,380000,447000,599500,599000,77
BANNOCKBURN,370000,405000,393000,382000,430000,487500,530000,555000,680000,729500,710000,92
BARANDUDA,345000,330000,323000,350000,350000,403500,395000,436000,487000,650000,610000,77
BARWON HEADS,742500,715000,775000,842500,916000,965000,1024000,1280000,1590000,1800000,1823000,146
BAXTER,330500,325000,340000,403000,530000,542500,530000,567500,710000,717500,692500,110
BAYSWATER,458500,525000,632500,693000,800500,753000,720000,745500,870000,902000,871000,90
BAYSWATER NORTH,468500,490000,580000,628000,737500,713000,695000,731000,855500,869500,840500,79
BEACONSFIELD,486500,525000,559000,585000,694500,730000,685000,711000,892000,940000,915000,88
BEACONSFIELD UPPER,470000,507500,602500,630000,725500,903500,787500,818000,900000,1205000,1202500,156
BEAUFORT,186000,220000,205000,237500,220000,225000,242500,325000,390000,415000,405000,118
BEAUMARIS,1072000,1129500,1345000,1455000,1611000,1674000,1587500,1725000,2100000,2061000,2040000,90
BEECHWORTH,295000,295000,332000,345000,399000,400000,478500,487500,645000,707000,730000,147
BELGRAVE,410000,426000,482500,545000,620000,676000,636000,680000,784000,850000,815000,99
BELGRAVE HEIGHTS,430000,480000,590500,624000,687500,701500,685000,737500,902500,1055500,850000,98
BELGRAVE SOUTH,548000,541000,555500,565000,689000,782500,665500,845000,1085000,919000,1125000,105
BELL PARK,314000,323500,340000,360000,400000,452500,482000,500000,620500,640000,610000,94
BELL POST HILL,328000,333500,344500,355000,435000,487000,475000,507000,657500,675000,620000,89
BELLFIELD (BANYULE),516000,582500,700000,778000,897000,882500,790000,775000,992500,965000,944000,83
BENALLA,228000,235500,222500,231500,250000,284000,290000,302000,394000,430500,430000,89
BENDIGO,340000,376500,372000,400000,400000,400000,420000,500000,600000,690000,540000,59
BENTLEIGH,900000,1050000,1245000,1380000,1470000,1394000,1376000,1510000,1742500,1723000,1690000,88
BENTLEIGH EAST,750000,850000,1000500,1115000,1256000,1205000,1200000,1255000,1480000,1490000,1430000,91
BERWICK,453000,487500,535000,583000,670000,690000,670000,700000,812000,870000,855000,89
BEVERIDGE,396000,351500,400000,430000,495000,540000,580000,531000,630000,650000,650000,64
BIRCHIP,120000,90000,121500,55000,100000,100000,108500,121500,130000,170000,225000,88
