Local Government Area,House Price,Offence Count
Alpine,467670.0,404.5
Ararat,253950.0,1145.4
Ballarat,466758.9285714285,10419.9
Banyule,1045633.947368421,11333.3
Bass Coast,513973.8095238095,2524.5
Baw Baw,393552.0833333334,3786.9
Bayside,1772644.4444444445,7121.8
Benalla,311125.0,1213.1
Boroondara,2219165.384615385,8366.1
Brimbank,649063.6363636365,19935.2
Buloke,142300.0,236.0
Campaspe,275950.0,3063.4
Cardinia,618800.641025641,6040.5
Casey,644541.9960474309,21186.1
Central Goldfields,246450.0,993.9
Colac-Otway,502225.0,1357.2
Corangamite,273567.85714285716,565.4
Darebin,1150528.5714285714,14235.6
East Gippsland,355512.5,3967.5
Frankston,647731.25,14447.6
Gannawarra,192725.0,627.1
Glen Eira,1629980.7692307692,7171.9
Glenelg,275475.0,1406.5
Golden Plains,530200.0,141.1
Greater Bendigo,408644.2307692308,9704.0
Greater Dandenong,667871.4285714285,17023.6
Greater Geelong,622002.7027027027,18456.5
Greater Shepparton,323221.4285714286,7858.6
Hepburn,528950.0,432.0
Hindmarsh,129800.0,314.4
Hobsons Bay,900422.7272727273,6017.2
Horsham,287050.0,2349.8
Hume,547214.705882353,19294.2
Indigo,377883.3333333334,408.0
Kingston,986755.5555555556,8768.3
Knox,818095.4545454546,10761.8
Latrobe,318753.8888888889,12457.1
Loddon,184550.0,194.0
Macedon Ranges,678345.0,1985.9
Manningham,1196427.272727273,5442.5
Mansfield,413450.0,382.4
Maribyrnong,890593.75,8612.2
Maroondah,846754.1666666666,8672.8
Melbourne,1559825.0,14210.3
Melton,508185.29411764705,10801.1
Merri-bek,964750.0,13404.7
Mildura,283516.6666666666,6596.4
Mitchell,464920.1388888889,3901.8
Moira,344242.85714285716,1690.8
Monash,1145830.7692307692,11884.3
Moonee Valley,1136145.4545454546,6554.3
Moorabool,483900.0,1808.4
Mornington Peninsula,994233.9285714285,10351.3
Mount Alexander,500341.6666666667,793.0
Moyne,414823.3333333334,1566.9
Murrindindi,403586.6666666666,468.4
Nillumbik,854350.0,2044.9
Northern Grampians,259983.3333333333,918.2
Port Phillip,1807655.5555555555,10537.4
Pyrenees,270225.0,211.1
Queenscliffe,1060650.0,90.2
South Gippsland,390192.85714285716,1143.0
Southern Grampians,197333.3333333333,1103.0
Stonnington,2695080.0,6797.9
Strathbogie,359550.0,355.9
Surf Coast,961941.6666666667,1101.5
Swan Hill,241475.0,2098.3
Towong,254825.0,119.4
Wangaratta,357525.0,2226.7
Warrnambool,404583.3333333333,2225.8888888888887
Wellington,286184.6153846154,3619.4
West Wimmera,160200.0,93.5
Whitehorse,1217004.5454545454,6295.0
Whittlesea,581293.75,12503.5
Wodonga,416500.0,3439.2
Wyndham,561012.5,13825.4
Yarra,1329800.0,11541.1
Yarra Ranges,646390.9090909091,6885.9
Yarriambiack,129337.5,318.7
