Suburb/Town Name,House Price,Offence Count
ABBOTSFORD,1165850.0,1418.5
ABERFELDIE,1482100.0,138.3
AIREYS INLET,1091950.0,31.0
AIRPORT WEST,806550.0,953.3
ALBANVALE,504650.0,389.2
ALBERT PARK,2012050.0,570.9
ALBION,682100.0,492.9
ALEXANDRA,360650.0,141.4
ALFREDTON,481600.0,514.8
ALLANSFORD,359100.0,46.4
ALPHINGTON,1664150.0,283.0
ALTONA,936100.0,757.0
ALTONA MEADOWS,601100.0,932.2
ALTONA NORTH,793050.0,1144.0
ANGLESEA,1028050.0,129.2
APOLLO BAY,710200.0,120.7
ARARAT,253950.0,1145.4
ARDEER,569950.0,322.0
ARMADALE,2406350.0,579.9
ARMSTRONG CREEK,546750.0,274.0
ASCOT VALE,1126800.0,1301.6
ASHBURTON,1694750.0,527.3
ASHWOOD,1265000.0,601.9
ASPENDALE,1068950.0,315.9
ASPENDALE GARDENS,915100.0,173.5
ATTWOOD,771550.0,99.0
AVENEL,382850.0,59.8
AVOCA,251950.0,73.3
AVONDALE HEIGHTS,818200.0,447.2
AVONSLEIGH,581800.0,21.2
AXEDALE,404750.0,28.1
BACCHUS MARSH,489650.0,843.5
BADGER CREEK,517450.0,50.9
BAIRNSDALE,308600.0,1723.3
BALACLAVA,1329300.0,628.4
BALLAN,474400.0,245.1
BALLARAT CENTRAL,502300.0,2783.5
BALLARAT EAST,377550.0,605.0
BALLARAT NORTH,435850.0,228.7
BALNARRING,905700.0,74.0
BALNARRING BEACH,1290400.0,14.2
BALWYN,2416450.0,503.2
BALWYN NORTH,1937150.0,586.4
BANDIANA,426700.0,30.9
BANNOCKBURN,530200.0,141.1
BARANDUDA,433450.0,46.4
BARWON HEADS,1173050.0,163.3
BAXTER,535800.0,243.7
BAYSWATER,751250.0,1263.1
BAYSWATER NORTH,714000.0,795.8
BEACONSFIELD,723650.0,365.6
BEACONSFIELD UPPER,828200.0,60.7
BEAUFORT,288500.0,137.8
BEAUMARIS,1672800.0,377.8
BEECHWORTH,481900.0,153.8
BELGRAVE,651450.0,304.8
BELGRAVE HEIGHTS,731400.0,27.0
BELGRAVE SOUTH,777250.0,44.9
BELL PARK,472850.0,456.6
BELL POST HILL,488950.0,307.9
BENALLA,307000.0,1200.8
BENDIGO,469850.0,2881.5
BENTLEIGH,1458050.0,905.7
BENTLEIGH EAST,1228150.0,1095.1
BERWICK,687250.0,2417.6
BEVERIDGE,525750.0,222.7
BIRCHIP,122150.0,22.9
BIRREGURRA,497500.0,25.4
BITTERN,605300.0,150.7
BLACK HILL,451350.0,139.1
