Suburb/Town Name,House Price,Offence Count
ABBOTSFORD,0.4493,0.1297
ABERFELDIE,0.5608,-0.3416
AIREYS INLET,1.6779,-0.2708
AIRPORT WEST,0.6435,-0.1645
ALBANVALE,0.814,-0.3151
ALBERT PARK,0.4654,0.0317
ALBION,0.7708,-0.1074
ALEXANDRA,0.9293,-0.4656
ALFREDTON,0.768,1.0507
ALLANSFORD,1.4742,0.2333
ALPHINGTON,1.0175,0.3514
ALTONA,0.7556,-0.1041
ALTONA MEADOWS,0.6707,-0.4074
ALTONA NORTH,0.5865,-0.173
ANGLESEA,1.5306,0.1158
APOLLO BAY,1.3607,-0.224
ARARAT,0.875,0.3861
ARDEER,0.7458,-0.1107
ARMADALE,0.4771,0.1146
ARMSTRONG CREEK,0.5289,16.8125
ASCOT VALE,0.6056,0.1477
ASHBURTON,0.6604,0.6838
ASHWOOD,0.6385,0.221
ASPENDALE,0.9312,-0.016
ASPENDALE GARDENS,0.7674,0.3304
ATTWOOD,0.8447,-0.5702
AVENEL,0.8377,-0.0213
AVOCA,0.9444,-0.4222
AVONDALE HEIGHTS,0.664,0.0687
AVONSLEIGH,1.0423,-0.1786
AXEDALE,0.4406,-0.0323
BACCHUS MARSH,0.8391,0.1796
BADGER CREEK,1.2538,0.2195
BAIRNSDALE,0.7828,0.2628
BALACLAVA,0.5924,0.1609
BALLAN,0.8409,0.0118
BALLARAT CENTRAL,0.855,-0.2525
BALLARAT EAST,0.934,-0.0433
BALLARAT NORTH,0.9872,0.8684
BALNARRING,1.2978,0.1562
BALNARRING BEACH,2.4286,1.0
BALWYN,0.677,0.3167
BALWYN NORTH,0.6563,0.3521
BANDIANA,0.6873,3.2857
BANNOCKBURN,0.7531,-0.1314
BARANDUDA,0.8485,1.5625
BARWON HEADS,1.5497,0.0909
BAXTER,1.1308,0.3495
BAYSWATER,0.659,-0.0947
BAYSWATER NORTH,0.7153,0.1292
BEACONSFIELD,0.7429,0.0453
BEACONSFIELD UPPER,1.3695,0.2174
BEAUFORT,0.8409,0.0945
BEAUMARIS,0.8061,0.6645
BEECHWORTH,1.4746,0.8235
BELGRAVE,0.9131,0.1245
BELGRAVE HEIGHTS,0.7708,-0.3636
BELGRAVE SOUTH,1.0795,-0.2609
BELL PARK,0.8856,0.0259
BELL POST HILL,0.8591,0.3836
BENALLA,0.8259,0.2615
BENDIGO,0.4343,0.0445
BENTLEIGH,0.6095,0.2651
BENTLEIGH EAST,0.6824,0.3767
BERWICK,0.7538,0.2267
BEVERIDGE,0.8492,1.0145
BIRCHIP,1.5,1.1579
BIRREGURRA,1.5185,-0.7714
BITTERN,1.1795,-0.1157
BLACK HILL,0.9471,-0.2609
BLACK ROCK,0.6339,0.777
BLACKBURN,0.7094,0.674
BLACKBURN NORTH,0.6259,1.1208
BLACKBURN SOUTH,0.7308,0.4099
BLAIRGOWRIE,1.6414,-0.4338
BLIND BIGHT,1.3499,0.0345
BONBEACH,0.7402,0.4046
BONNIE DOON,1.2909,0.7561
BOOLARRA,0.7308,0.3667
BOORT,0.6615,0.3158
BORONIA,0.7083,0.1454
BOTANIC RIDGE,0.6811,3.1077
BOX HILL,0.5745,0.6124
BOX HILL NORTH,0.5545,0.5309
BOX HILL SOUTH,0.6484,0.3579
BRAYBROOK,0.4849,0.2339
BREAKWATER,1.2863,0.0705
BRIAGOLONG,1.1825,-0.2449
BRIAR HILL,0.5814,-0.0444
BRIGHT,2.2401,0.1593
BRIGHTON,0.6495,0.0426
BRIGHTON EAST,0.8647,0.2672
BROADFORD,1.0599,0.3881
BROADMEADOWS,0.6232,-0.0264
BROOKFIELD,0.5977,-0.0325
BROOKLYN,0.3704,-0.1375
BROWN HILL,1.6288,0.7426
BRUNSWICK,0.6,-0.0223
BRUNSWICK EAST,0.7073,0.011
BRUNSWICK WEST,0.6139,0.455
BRUTHEN,1.5753,-0.3415
BULLEEN,0.6237,-0.1004
BUNDALONG,1.8767,-0.3636
BUNDOORA,0.551,0.161
BUNINYONG,0.7662,-0.0962
BUNYIP,1.2462,-0.0769
BURNLEY,0.4386,0.2393
BURNSIDE,0.8766,-0.0254
BURNSIDE HEIGHTS,0.6836,-0.2752
BURWOOD,0.626,-0.0556
BURWOOD EAST,0.6368,0.8671
CAIRNLEA,0.7183,0.0847
CALIFORNIA GULLY,0.7595,-0.0811
CAMBERWELL,0.5335,0.4119
CAMPBELLFIELD,0.7899,-0.0657
CAMPBELLS CREEK,1.0942,0.3774
CAMPERDOWN,1.5269,-0.0116
CANADIAN,0.8013,-0.2639
CANTERBURY,0.5488,-0.2108
CAPE PATERSON,1.4232,0.4182
CAPE SCHANCK,1.7336,-0.25
CAPEL SOUND,1.0219,0.005
CARDIGAN,3.8268,2.6667
CARLTON,0.4559,0.4462
CARLTON NORTH,0.3516,-0.1466
CARNEGIE,0.6625,0.6328
CAROLINE SPRINGS,0.588,0.1249
CARRUM,0.9216,-0.188
CARRUM DOWNS,1.0087,0.289
CASTERTON,1.9293,0.3036
CASTLEMAINE,0.9621,0.3712
CAULFIELD,0.351,0.0695
CAULFIELD NORTH,0.7703,0.562
CAULFIELD SOUTH,0.6208,0.4153
CHADSTONE,0.5665,0.2421
CHARLTON,1.4427,-0.0909
CHELSEA,1.069,0.3993
CHELSEA HEIGHTS,0.7671,-0.1226
CHELTENHAM,0.7339,0.384
CHILTERN,1.08,-0.0299
CHIRNSIDE PARK,0.8349,0.0411
CHURCHILL,0.9328,-0.208
CLARINDA,0.5664,0.4528
CLAYTON,0.5533,0.7214
CLAYTON SOUTH,0.6336,0.5856
CLIFTON HILL,0.7876,-0.3486
CLIFTON SPRINGS,0.9477,0.4596
CLUNES,1.1474,0.0351
CLYDE,0.6638,6.4757
CLYDE NORTH,0.8947,4.0464
COBBLEBANK,0.9892,2.5333
COBDEN,1.7241,1.1731
COBRAM,0.9022,1.0759
COBURG,0.662,-0.0337
COBURG NORTH,0.6333,-0.0944
COCKATOO,1.0822,-0.1982
COHUNA,0.8571,0.1353
COLAC,1.0426,-0.1267
COLDSTREAM,0.9877,-0.0435
COLERAINE,1.1842,0.1324
COLLINGWOOD,0.5806,0.1088
CONNEWARRE,1.6249,0.6667
COOLAROO,0.8293,-0.127
COONGULLA,1.2317,0.5
CORINELLA,1.5741,0.0833
CORIO,0.9835,0.196
CORONET BAY,1.3293,-0.3077
CORRYONG,1.3704,0.45
COWES,1.2378,0.1803
CRAIGIEBURN,0.7956,0.1071
CRANBOURNE,0.9759,0.3416
CRANBOURNE EAST,0.7256,1.2541
CRANBOURNE NORTH,0.8933,0.1142
CRANBOURNE WEST,0.9627,0.3992
CREMORNE,0.5059,0.1601
CRESWICK,0.9593,0.1063
CRIB POINT,1.2271,-0.3641
CROYDON,0.7448,-0.2022
CROYDON HILLS,0.9472,-0.5154
CROYDON NORTH,0.7917,0.1613
CROYDON SOUTH,0.6708,0.0576
CURLEWIS,0.7451,1.7679
DALLAS,0.7373,-0.2989
DALYSTON,1.0192,0.9615
DANDENONG,0.5661,0.044
DANDENONG NORTH,0.7353,0.146
DARLEY,0.9306,0.9891
DAYLESFORD,1.2391,0.3143
DEEPDENE,0.377,0.4386
DEER PARK,0.7534,-0.0466
DELACOMBE,0.8065,0.4337
DELAHEY,0.727,-0.3633
DENNINGTON,0.846,-0.3538
DERRIMUT,0.6989,0.2821
DIAMOND CREEK,0.7882,-0.0524
DIGGERS REST,1.0231,0.8646
DIMBOOLA,2.105,0.0833
DINGLEY VILLAGE,0.7957,0.3047
DONALD,1.0,1.8784
DONCASTER,0.5516,0.2124
DONCASTER EAST,0.8222,0.3954
DONVALE,0.7125,0.6235
DOREEN,0.6907,0.1027
DOVETON,0.8357,-0.0086
DROMANA,1.1392,0.0717
DROUIN,0.9984,0.0584
DRYSDALE,0.8082,-0.2027
DUNOLLY,0.9706,0.4839
EAGLE POINT,0.985,1.1765
EAGLEHAWK,0.7766,-0.1944
EAGLEMONT,0.6613,-0.169
EAST BAIRNSDALE,1.1719,0.251
EAST BENDIGO,0.6712,0.8402
EAST GEELONG,0.9578,-0.2782
EAST MELBOURNE,0.8178,0.0667
EAST WARBURTON,1.4273,0.5
EASTWOOD,0.7515,1.2687
ECHUCA,1.0351,0.2937
EDENHOPE,1.0462,0.037
EDITHVALE,0.9104,0.2048
EILDON,1.1951,-0.2667
ELLIMINYT,1.3962,-0.1169
ELMORE,1.0112,1.3448
ELSTERNWICK,0.6464,0.489
ELTHAM,0.7761,-0.0886
ELTHAM NORTH,0.8382,-0.4
ELWOOD,0.5575,-0.2507
EMERALD,0.9132,-0.4401
ENDEAVOUR HILLS,0.8403,0.2139
EPPING,0.7283,-0.0756
EPSOM,0.7007,0.2101
ESSENDON,0.8684,-0.0155
ESSENDON NORTH,0.5429,0.35
ESSENDON WEST,0.4841,0.7297
EUMEMMERRING,0.8219,0.4698
EUREKA,1.0193,-0.0704
EUROA,1.1413,-0.1677
EYNESBURY,0.6731,-0.082
FAIRFIELD,0.6772,-0.0529
FAWKNER,0.7342,0.1676
FERNTREE GULLY,0.7624,0.1569
FERNY CREEK,0.8071,-0.5323
FINGAL,1.7397,0.7
FITZROY,0.354,0.0695
FITZROY NORTH,0.5779,-0.161
FLEMINGTON,0.4075,-0.3438
FLINDERS,1.63,0.3077
FLORA HILL,0.6074,0.1937
FLOWERDALE,2.5,1.1739
FOOTSCRAY,0.3984,0.2498
FOREST HILL,0.7344,0.1177
FOSTER,0.873,0.4096
FRANKSTON,0.9758,-0.0834
FRANKSTON NORTH,1.1338,0.0196
FRANKSTON SOUTH,1.0536,-0.1225
FRASER RISE,0.4612,1.6839
FYANSFORD,0.9874,0.629
GARDENVALE,0.9492,1.7174
GARFIELD,1.3099,-0.3733
GEELONG,0.9189,0.1157
GEELONG WEST,0.9403,0.2181
GEMBROOK,1.1312,0.2203
GISBORNE,0.9608,0.1789
GLADSTONE PARK,0.775,-0.2698
GLEN HUNTLY,0.5291,0.3822
GLEN IRIS,0.6667,0.2018
GLEN WAVERLEY,0.7292,0.5915
GLENGARRY,1.0848,0.2619
GLENROWAN,1.4895,0.2951
GLENROY,0.59,-0.0279
GOLDEN BEACH,1.2899,1.913
GOLDEN SQUARE,0.6885,0.2855
GORDON,1.2277,0.28
