Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2023,December,1 North West Metro, Banyule,8072,6256.3
2023,December,1 North West Metro, Brimbank,17044,8666.6
2023,December,1 North West Metro, Darebin,13715,8823.9
2023,December,1 North West Metro, Hobsons Bay,5720,6143.2
2023,December,1 North West Metro, Hume,18342,7030.8
2023,December,1 North West Metro, Maribyrnong,9713,10384.4
2023,December,1 North West Metro, Melbourne,37764,21405.7
2023,December,1 North West Metro, Melton,12862,6224.0
2023,December,1 North West Metro, Merri-bek,12750,7049.7
2023,December,1 North West Metro, Moonee Valley,8020,6354.3
2023,December,1 North West Metro, Nillumbik,1776,2806.6
2023,December,1 North West Metro, Whittlesea,13199,5395.8
2023,December,1 North West Metro, Wyndham,18574,5746.8
2023,December,1 North West Metro, Yarra,12835,13072.3
2023,December,1 North West Metro,Total,190386,8108.2
2023,December,2 Eastern, Alpine,519,3921.7
2023,December,2 Eastern, Bass Coast,2957,6924.1
2023,December,2 Eastern, Baw Baw,4496,7412.0
2023,December,2 Eastern, Benalla,1515,10453.5
2023,December,2 Eastern, Boroondara,7868,4515.9
2023,December,2 Eastern, East Gippsland,5279,10687.6
2023,December,2 Eastern, Greater Shepparton,8503,12215.8
2023,December,2 Eastern, Indigo,657,3741.3
2023,December,2 Eastern, Knox,10162,6315.4
2023,December,2 Eastern, Latrobe,11863,15187.3
2023,December,2 Eastern, Manningham,4817,3764.3
2023,December,2 Eastern, Mansfield,601,5726.7
2023,December,2 Eastern, Maroondah,7666,6548.0
2023,December,2 Eastern, Mitchell,4163,7613.3
2023,December,2 Eastern, Moira,2582,8404.7
2023,December,2 Eastern, Monash,13629,6832.2
2023,December,2 Eastern, Murrindindi,824,5304.9
2023,December,2 Eastern, South Gippsland,2264,7315.8
2023,December,2 Eastern, Strathbogie,529,4549.1
2023,December,2 Eastern, Towong,284,4580.7
2023,December,2 Eastern, Wangaratta,2715,9030.9
2023,December,2 Eastern, Wellington,4681,10146.6
2023,December,2 Eastern, Whitehorse,9916,5627.9
2023,December,2 Eastern, Wodonga,4372,9871.2
2023,December,2 Eastern, Yarra Ranges,7113,4478.3
2023,December,2 Eastern,Total,119975,6890.6
2023,December,3 Southern Metro, Bayside,5605,5422.0
2023,December,3 Southern Metro, Cardinia,7108,5587.6
2023,December,3 Southern Metro, Casey,23432,5982.9
2023,December,3 Southern Metro, Frankston,14953,10490.5
2023,December,3 Southern Metro, Glen Eira,7662,4948.3
2023,December,3 Southern Metro, Greater Dandenong,18774,11610.9
2023,December,3 Southern Metro, Kingston,12594,7762.3
2023,December,3 Southern Metro, Mornington Peninsula,9928,5812.8
2023,December,3 Southern Metro, Port Phillip,12727,11447.1
2023,December,3 Southern Metro, Stonnington,11214,10020.7
2023,December,3 Southern Metro,Total,123997,7572.6
2023,December,4 Western, Ararat,1410,11956.8
2023,December,4 Western, Ballarat,11715,9931.7
2023,December,4 Western, Buloke,429,7042.0
2023,December,4 Western, Campaspe,3925,10154.4
2023,December,4 Western, Central Goldfields,1212,8916.6
2023,December,4 Western, Colac-Otway,1471,6594.6
2023,December,4 Western, Corangamite,729,4577.0
2023,December,4 Western, Gannawarra,995,9502.7
2023,December,4 Western, Glenelg,1645,8216.2
2023,December,4 Western, Golden Plains,729,2832.5
2023,December,4 Western, Greater Bendigo,11276,9072.0
2023,December,4 Western, Greater Geelong,22601,8009.4
2023,December,4 Western, Hepburn,710,4261.5
2023,December,4 Western, Hindmarsh,307,5528.0
2023,December,4 Western, Horsham,2756,13531.7
2023,December,4 Western, Loddon,453,5844.9
2023,December,4 Western, Macedon Ranges,2131,4030.1
2023,December,4 Western, Mildura,8071,14036.6
2023,December,4 Western, Moorabool,2593,6573.3
2023,December,4 Western, Mount Alexander,1094,5342.6
2023,December,4 Western, Moyne,625,3560.7
2023,December,4 Western, Northern Grampians,1076,9085.2
2023,December,4 Western, Pyrenees,369,4796.3
2023,December,4 Western, Queenscliffe,93,2838.1
2023,December,4 Western, Southern Grampians,1227,7515.2
2023,December,4 Western, Surf Coast,1251,3165.2
2023,December,4 Western, Swan Hill,2222,10508.8
2023,December,4 Western, Warrnambool,3166,8867.4
2023,December,4 Western, West Wimmera,187,4784.8
2023,December,4 Western, Yarriambiack,413,6464.5
2023,December,4 Western,Total,86881,8096.9
