Locality,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Change Percentage  13-23,2014 offence count,2015 offence count,2016 offence count,2017 offence count,2018 offence count,2019 offence count,2020 offence count,2021 offence count,2022 offence count,2023 offence count
ABBOTSFORD,792500,862500,925000,1187500,1280000,1192500,1050000,1200000,1365000,1346000,1250000,58.0,1110,1523.0,1356,1416,1550,1592,1572,1504,1308,1254.0
ABERFELDIE,947500,1045000,1207500,1300000,1471000,1498500,1390000,1520000,1858000,1900000,1631000,72.0,161,168.0,151,137,124,163,130,146,97,106.0
AIREYS INLET,664000,625500,680000,715000,737500,869000,985000,1132500,1775000,1725000,1675000,152.0,48,36.0,26,35,27,18,34,24,27,35.0
AIRPORT WEST,532000,575000,635000,742000,845000,845000,795000,812500,960000,911000,945000,78.0,991,1180.0,979,962,1193,1003,758,794,845,828.0
ALBANVALE,313000,328000,345000,439000,526500,546000,512000,545000,610000,600000,595000,90.0,384,395.0,374,325,394,539,460,409,349,263.0
ALBERT PARK,1360000,1503000,1700000,1775000,2150000,2070000,1990000,1900000,2355000,2475000,2202500,62.0,504,501.0,855,582,622,610,576,474,465,520.0
ALBION,379000,432000,481000,593000,730000,755000,675000,727500,832500,830000,765000,102.0,475,534.0,505,496,557,492,471,522,453,424.0
ALEXANDRA,261000,247500,285000,275000,291500,335000,325000,380000,440000,550000,477500,83.0,189,129.0,144,132,154,114,195,138,118,101.0
ALFREDTON,361500,362000,340500,375000,412500,439000,480000,512000,605000,650000,640000,77.0,335,402.0,589,490,545,401,466,625,608,687.0
ALLANSFORD,310000,242500,259000,275000,280000,245000,300000,371000,445000,573500,600000,94.0,30,38.0,25,29,39,85,58,52,71,37.0
ALPHINGTON,1080000,1029000,1296500,1272500,1560000,1612500,1455000,1865000,2280000,2195000,2076000,92.0,259,274.0,381,372,240,269,265,238,182,350.0
ALTONA,572500,646500,718000,832500,950000,932500,890000,914000,1162500,1180000,1135000,98.0,826,728.0,760,763,774,786,704,807,682,740.0
ALTONA MEADOWS,390000,413000,440000,495000,626500,631500,615000,640000,720000,740000,690000,77.0,972,992.0,1016,897,960,1080,964,999,866,576.0
ALTONA NORTH,510000,555000,642500,725000,825000,835000,790000,830000,905000,942500,880500,73.0,1272,1360.0,1223,1174,1141,1207,1087,895,1029,1052.0
ANGLESEA,550000,612500,635000,652500,788000,870000,915000,1100000,1440000,1717500,1550000,182.0,95,171.0,129,108,97,127,187,185,87,106.0
APOLLO BAY,450000,457500,435000,480000,545000,555000,915000,710000,924500,1000000,1080000,140.0,125,124.0,136,102,138,102,113,153,117,97.0
ARARAT,180000,200000,210000,204500,199000,199000,215000,244000,313000,380000,375000,109.0,878,1103.0,1061,1088,1195,1081,1271,1435,1125,1217.0
ARDEER,330000,360000,381500,517500,595000,629000,572000,615000,719000,682000,628500,90.0,280,360.0,364,295,406,327,341,283,315,249.0
ARMADALE,1675000,1750000,2172500,2364000,2300000,2341500,2490000,2625000,2700000,2735500,2585000,54.0,541,537.0,686,481,685,657,549,483,577,603.0
ARMSTRONG CREEK,467500,441500,440000,450000,471000,535000,529500,545500,660000,720000,675000,44.0,32,71.0,162,188,254,344,345,356,418,570.0
