Local Government Area,Year,House Price,Offence Count
Alpine,2014,260900.0,378.0
Alpine,2015,280900.0,404.0
Alpine,2016,302200.0,288.0
Alpine,2017,343800.0,370.0
Alpine,2018,385400.0,467.0
Alpine,2019,430500.0,456.0
Alpine,2020,482000.0,463.0
Alpine,2021,637600.0,434.0
Alpine,2022,810500.0,358.0
Alpine,2023,742900.0,427.0
Ararat,2014,200000.0,878.0
Ararat,2015,210000.0,1103.0
Ararat,2016,204500.0,1061.0
Ararat,2017,199000.0,1088.0
Ararat,2018,199000.0,1195.0
Ararat,2019,215000.0,1081.0
Ararat,2020,244000.0,1271.0
Ararat,2021,313000.0,1435.0
Ararat,2022,380000.0,1125.0
Ararat,2023,375000.0,1217.0
Ballarat,2014,328517.85714285716,9840.0
Ballarat,2015,337111.1111111111,10678.0
Ballarat,2016,350592.5925925926,11368.0
Ballarat,2017,371428.5714285714,11188.0
Ballarat,2018,421035.71428571426,10385.0
Ballarat,2019,457214.28571428574,11151.0
Ballarat,2020,516196.4285714286,9323.0
Ballarat,2021,601648.1481481482,9311.0
Ballarat,2022,652696.4285714285,10150.0
Ballarat,2023,631148.1481481482,10805.0
Banyule,2014,751250.0,11212.0
Banyule,2015,837200.0,12484.0
Banyule,2016,942263.1578947369,12242.0
Banyule,2017,1043450.0,12477.0
Banyule,2018,1031125.0,12189.0
Banyule,2019,992750.0,12130.0
Banyule,2020,1064175.0,12014.0
Banyule,2021,1270100.0,9885.0
Banyule,2022,1263973.6842105263,9037.0
Banyule,2023,1260052.6315789474,9663.0
Bass Coast,2014,330857.14285714284,2382.0
Bass Coast,2015,343666.6666666667,2509.0
Bass Coast,2016,360190.4761904762,2748.0
Bass Coast,2017,397333.3333333333,2394.0
Bass Coast,2018,465619.04761904763,2069.0
Bass Coast,2019,475000.0,2238.0
Bass Coast,2020,542190.4761904762,2706.0
Bass Coast,2021,696190.4761904762,2816.0
Bass Coast,2022,786380.9523809524,2522.0
Bass Coast,2023,742309.5238095238,2861.0
Baw Baw,2014,274375.0,3465.0
Baw Baw,2015,266375.0,3287.0
Baw Baw,2016,290500.0,3657.0
Baw Baw,2017,309437.5,3238.0
Baw Baw,2018,366312.5,3812.0
Baw Baw,2019,388062.5,4224.0
Baw Baw,2020,418562.5,4317.0
Baw Baw,2021,493187.5,3947.0
Baw Baw,2022,551375.0,3804.0
Baw Baw,2023,577333.3333333334,4118.0
Bayside,2014,1211277.7777777778,6208.0
Bayside,2015,1424111.111111111,6808.0
Bayside,2016,1618611.111111111,7811.0
Bayside,2017,1808833.3333333333,6942.0
Bayside,2018,1759555.5555555555,6962.0
Bayside,2019,1644555.5555555555,7661.0
Bayside,2020,1815444.4444444445,7814.0
Bayside,2021,2191500.0,6020.0
Bayside,2022,2175388.888888889,6864.0
Bayside,2023,2077166.6666666667,8128.0
Benalla,2014,235500.0,1067.0
Benalla,2015,222500.0,1016.0
Benalla,2016,231500.0,1384.0
Benalla,2017,250000.0,1129.0
Benalla,2018,284000.0,1088.0
Benalla,2019,331250.0,1300.0
Benalla,2020,302000.0,1267.0
Benalla,2021,394000.0,1318.0
Benalla,2022,430500.0,1216.0
Benalla,2023,430000.0,1346.0
Boroondara,2014,1635884.6153846155,7412.0
Boroondara,2015,1964615.3846153845,8124.0
Boroondara,2016,2039346.1538461538,9306.0
Boroondara,2017,2299500.0,8087.0
Boroondara,2018,2157576.923076923,7775.0
Boroondara,2019,2119307.6923076925,8968.0
Boroondara,2020,2216769.230769231,9060.0
Boroondara,2021,2567000.0,8309.0
